Airport,Runway
591. Halifax (YHZ),8800 (2683 m)
592. Medford (MFR),8800 (2683 m)
593. Fayetteville (XNA),8800 (2683 m)
594. London (YXU),8800 (2683 m)
595. Nukualofa (TBU),8795 (2681 m)
596. Bismarck (BIS),8794 (2681 m)
597. Heraklion (HER),8793 (2681 m)
598. Kingston (KIN),8786 (2679 m)
599. Glasgow (GLA),8743 (2666 m)
600. Aalborg (AAL),8707 (2655 m)
601. Montego Bay (MBJ),8704 (2654 m)
602. Rapid City (RAP),8701 (2653 m)
603. Green Bay (GRB),8701 (2653 m)
604. Saipan (SPN),8700 (2652 m)
605. Mosul (OSM),8695 (2651 m)
606. Puerto Montt (PMC),8694 (2651 m)
607. Manado (MDC),8694 (2651 m)
608. Brno (BRQ),8694 (2651 m)
609. El Calafate (E),8688 (2649 m)
610. Trabzon (TZX),8661 (2641 m)
611. Dublin (DUB),8652 (2638 m)
612. Naples (NAP),8622 (2629 m)
613. Iqaluit (YFB),8605 (2623 m)
614. Sacramento (SMF),8601 (2622 m)
615. Brest (BQT),8596 (2621 m)
616. Bahia Blanca (BHI),8579 (2616 m)
617. Osh (OSS),8576 (2615 m)
618. Zamboanga (ZAM),8564 (2611 m)
619. Vitebsk (VTB),8550 (2607 m)
620. Campo Grande (CGR),8530 (2601 m)
621. Bangui (BGF),8530 (2601 m)
622. Natal (NAT),8530 (2601 m)
623. Sarajevo (SJJ),8530 (2601 m)
624. Cartagena (CTG),8530 (2601 m)
625. Chihuahua (CUU),8530 (2601 m)
626. Port Vila (VLI),8530 (2601 m)
627. Pointe Noire (PNR),8530 (2601 m)
628. Batumi (BUS),8530 (2601 m)
629. Mbabane (MTS),8530 (2601 m)
630. Hailar (HLD),8530 (2601 m)
631. Bilbao (BIO),8530 (2601 m)
632. Birmingham (BHX),8527 (2600 m)
633. Esbjerg (EBJ),8527 (2600 m)
634. Antofagasta (ANF),8527 (2600 m)
635. Lansing (LAN),8506 (2593 m)
636. St Johns (YYT),8502 (2592 m)
637. San Antonio (SAT),8502 (2592 m)
638. Albany (ALB),8500 (2591 m)
